username,password,employeeId,role,isActive
emp10001,123,10001,ADMIN,TRUE
emp10002,123,10002,ADMIN,TRUE
emp10003,123,10003,FINANCE,TRUE
emp10004,123,10004,EMPLOYEE,TRUE
emp10005,123,10005,IT,TRUE
emp10006,123,10006,HR,TRUE
emp10007,123,10007,HR,TRUE
emp10008,123,10008,HR,TRUE
emp10009,123,10009,HR,TRUE
emp10010,123,10010,FINANCE,TRUE
emp10011,123,10011,FINANCE,TRUE
emp10012,123,10012,FINANCE,TRUE
emp10013,123,10013,EMPLOYEE,TRUE
emp10014,123,10014,EMPLOYEE,TRUE
emp10015,123,10015,EMPLOYEE,TRUE
emp10016,123,10016,EMPLOYEE,TRUE
emp10017,123,10017,EMPLOYEE,TRUE
emp10018,123,10018,EMPLOYEE,TRUE
emp10019,123,10019,EMPLOYEE,TRUE
emp10020,123,10020,EMPLOYEE,TRUE
emp10021,123,10021,EMPLOYEE,TRUE
emp10022,123,10022,EMPLOYEE,TRUE
emp10023,123,10023,EMPLOYEE,TRUE
emp10024,123,10024,EMPLOYEE,TRUE
emp10025,123,10025,EMPLOYEE,TRUE
emp10026,123,10026,EMPLOYEE,TRUE
emp10027,123,10027,EMPLOYEE,TRUE
emp10028,123,10028,EMPLOYEE,TRUE
emp10029,123,10029,EMPLOYEE,TRUE
emp10030,123,10030,EMPLOYEE,TRUE
emp10031,123,10031,EMPLOYEE,TRUE
emp10032,123,10032,EMPLOYEE,TRUE
emp10033,123,10033,EMPLOYEE,TRUE
emp10034,123,10034,EMPLOYEE,TRUE
admin,123,123,ADMIN,TRUE
